                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0911,                0.97929,                 1.1644,                0.89863,                0.86673,                0.89123,                0.65728,                0.95658,                0.61135,                 1.1468,             0.00019574,             0.00019574,             0.00019574
                      2,                0.97632,                0.62127,                 1.0891,                0.88481,                0.89747,                0.90519,                0.68278,                0.92262,                0.58229,                 1.1251,             0.00036589,             0.00036589,             0.00036589
                      3,                0.94398,                0.58191,                 1.0751,                0.88748,                0.91433,                0.93006,                0.70758,                0.92264,                0.53952,                 1.1273,             0.00051016,             0.00051016,             0.00051016
                      4,                0.90619,                0.54353,                 1.0569,                0.86373,                 0.9376,                0.93009,                0.73126,                  0.834,                0.47114,                 1.0763,             0.00047158,             0.00047158,             0.00047158
                      5,                0.87857,                0.50725,                  1.042,                0.87748,                 0.9018,                0.92896,                0.74351,                0.81006,                0.46595,                 1.0669,             0.00047158,             0.00047158,             0.00047158
                      6,                0.92002,                0.48733,                 1.0627,                0.88378,                0.91986,                0.94152,                 0.7568,                 0.8061,                0.44701,                 1.0583,             0.00043277,             0.00043277,             0.00043277
                      7,                0.88034,                0.45452,                 1.0429,                0.91996,                0.90939,                0.94949,                0.77428,                 0.7741,                0.42046,                 1.0361,             0.00039396,             0.00039396,             0.00039396
                      8,                0.84972,                0.43018,                 1.0274,                0.92237,                0.92243,                0.94823,                0.76761,                0.76837,                 0.3928,                 1.0401,             0.00035515,             0.00035515,             0.00035515
                      9,                0.81951,                0.40964,                 1.0142,                0.95835,                0.90786,                0.96838,                0.79781,                0.72961,                0.37555,                 1.0222,             0.00031634,             0.00031634,             0.00031634
                     10,                0.78545,                0.38814,                0.99825,                0.93767,                0.94239,                0.96508,                0.80341,                 0.7035,                0.35132,                 1.0054,             0.00027754,             0.00027754,             0.00027754
                     11,                0.75489,                0.37163,                0.98275,                0.93719,                0.95061,                0.96962,                0.81092,                0.69309,                0.34565,                 1.0011,             0.00023873,             0.00023873,             0.00023873
                     12,                0.72711,                0.35685,                0.96895,                0.95207,                0.94329,                0.96965,                0.82077,                0.65976,                0.32452,                0.98409,             0.00019992,             0.00019992,             0.00019992
                     13,                0.69591,                0.34151,                0.95645,                0.95343,                0.92484,                0.96591,                0.81977,                0.66207,                0.33055,                 0.9955,             0.00016111,             0.00016111,             0.00016111
                     14,                0.66744,                0.32631,                0.94504,                0.95679,                0.93672,                 0.9692,                0.83474,                0.62603,                0.31102,                0.97795,              0.0001223,              0.0001223,              0.0001223
                     15,                0.63905,                0.31364,                0.93268,                0.94093,                0.95209,                0.96879,                0.83676,                 0.6113,                0.30673,                0.97272,             8.3496e-05,             8.3496e-05,             8.3496e-05
